Item Code,Item Description,Barcode,UOM,Main category,Sub catgory,Price,Price Display,Color,Flavor,Weight Per Piece(In Grams),Image Filename
114480,PREMIUM BELGIUM EGG WRAPPED BROWN PURE PISTACHIO KUNAFA KG,1351214114480,KGS,Finished Products,FINI- EGGS WRAPPED,160,FALSE,"#4f3316, #644e39",PISTACHIO KUNAFA,,114480.jpg
114403,PREMIUM WRAPPED MAJDOOLS JUMBO WITH ALMOND KG,1351214114403,KGS,Finished Products,FINI- NUTS,140,FALSE,"#2c1613, #844a1a",MAJDOOL JUMBO WITH ALMOND,,114403.jpg
114395,PREMIUM WRAPPED MAJDOOLS JUMBO WITH HAZELNUT KG,1351214114395,KGS,Finished Products,FINI- NUTS,140,FALSE,"#3a1902, #aba15c",MAJDOOL JUMBO WITH HAZELNUT,,114395.jpg
114249,PREMIUM PETIT FOUR CUP PINK CHOCOLATE WITH ROSE KG,1351214114249,KGS,Finished Products,FINI- PETIT FOUR OPEN,140,FALSE,"#ffbf68, #ffbdaf",CHOCOLATE WITH ROSE,,114249.jpg
115281,PREMIUM BELGIUM OPEN WHITE CHOCOLATE PISTACHIO HAL KG,1351214115281,KGS,Finished Products,BELGIUM- OPEN,160,FALSE,#9da39a,PISTACHIO,12.1,115281.jpg
115277,PREMIUM ITALIAN OPEN BROWN SMALL CIGAR LOTUS KGS,1351214115277,KGS,Finished Products,ITALIAN- OPEN,160,FALSE,#1d140c,LOTUS,7.72,115277.jpg
115275,PREMIUM ITALIAN OPEN BROWN SMALL CIGAR ALMOND KGS,1351214115275,KGS,Finished Products,ITALIAN- OPEN,160,FALSE,"#787252, #453827",ALMOND,7.72,115275.jpg
115274,PREMIUM ITALIAN OPEN BROWN SMALL CIGAR PISTACHIO KGS,1351214115274,KGS,Finished Products,ITALIAN- OPEN,160,FALSE,"#7a9850, #473e3f",PISTACHIO,6.27,115274.jpg
115273,PREMIUM BELGIUM EGG OPEN GREEN CARAMEL MINI KG,1351214115273,KGS,Finished Products,FINI- EGGS OPEN,130,FALSE,#13593f,CARAMEL,10,115273.jpg
115272,PREMIUM BAKLAWA OPEN ALMOND CREAM WITH WHITE WALNUT KG,1351214115272,KGS,Finished Products,FINI- BAKLAWA,160,FALSE,"#988b69, #b7ac98",ALMOND CREAM WITH WHITE WALNUT,12.98,115272.jpg
115271,PREMIUM BAKLAWA WRAPPED ALMOND CREAM WITH WHITE WALNUT KG,1351214115271,KGS,Finished Products,FINI- BAKLAWA,160,FALSE,"#988b69, #b7ac98",ALMOND CREAM WITH WHITE WALNUT,12.98,115271.jpg
115269,PREMIUM BAKLAWA WRAPPED PECAN MAD KG,1351214115269,KGS,Finished Products,FINI- BAKLAWA,160,FALSE,#7d5f24,PECAN,16,115269.jpg
115262,PREMIUM ITALIAN WRAPPED DARK PRALINE ALMOND KG,1351214115262,KGS,Finished Products,ITALIAN- WRAPPED,160,FALSE,#3a2b28,PRALINE ALMOND,19.1,115262.jpg
115261,PREMIUM BELGIUM OPEN BEIGE CARAMEL HAZELNUT CREAM WITH NUTS  KG,1351214115261,KGS,Finished Products,BELGIUM- OPEN,160,FALSE,#a09790,CARAMEL HAZELNUT CREAM WITH NUTS,10,115261.jpg
115260,PREMIUM BELGIUM EGG OPEN BEIGE HAZELNUT CREAM WITH WAFER MINI KG,1351214115260,KGS,Finished Products,FINI- EGGS OPEN,130,FALSE,#b2b0a1,HAZELNUT CREAM WITH WAFER,7.5,115260.jpg
115259,PREMIUM BELGIUM OPEN BEIGE CORNFLAKES KG,1351214115259,KGS,Finished Products,BELGIUM- OPEN,160,FALSE,#b2b0a1,CORNFLAKES,6.5,115259.jpg
115258,PREMIUM BELGIUM WRAPPED DARK CHOCOLATE SQUARE 4X4 ALMOND NUTS KG,1351214115258,KGS,Finished Products,BELGIUM- WRAPPED,135,FALSE,#2b1d1c,ALMOND NUTS,18.5,115258.jpg
115257,PREMIUM BELGIUM WRAPPED DARK CHOCOLATE SQUARE 4X4 HAZELNUTS KG,1351214115257,KGS,Finished Products,BELGIUM- WRAPPED,135,FALSE,#2b1d1c,HAZELNUTS,18.5,115257.jpg
115256,PREMIUM BELGIUM WRAPPED DARK CHOCOLATE SQUARE 4X4 PISTACHIO NUTS KG,1351214115256,KGS,Finished Products,BELGIUM- WRAPPED,135,FALSE,#2b1d1c,PISTACHIO NUTS,18.5,115256.jpg
115255,PREMIUM BELGIUM WRAPPED BROWN SQUARE DARK CHOCO DESIGN WITH PISTACHIO FILLING  KGS,1351214115255,KGS,Finished Products,BELGIUM- WRAPPED,135,FALSE,"#2d2523, #bbb9ac",PISTACHIO,20,115255.jpg
115253,PREMIUM ITALIAN WRAPPED CIGAR CORNFLAKES KG,1351214115253,KGS,Finished Products,ITALIAN- WRAPPED,160,FALSE,#372920,CORNFLAKES,11.21,115253.jpg
115252,PREMIUM CHOCOLATE MACARON OPEN LIGHT ORANGE HAZELNUT CREAM WITH NUTS KG,1351214115252,KGS,Finished Products,FINI- MACARON OPEN,157.14,FALSE,#916c52, HAZELNUT CREAM WITH NUTS,10,115252.jpg
115251,PREMIUM CHOCOLATE MACARON OPEN LIGHT ORANGE CHOCOLATE FILLING KG,1351214115251,KGS,Finished Products,FINI- MACARON OPEN,157.14,FALSE,#916c52,CHOCOLATE FILLINGS,10,115251.jpg
115250,PREMIUM APRICOAT WITH WHITE WALNUT KG,1351214115250,KGS,Finished Products,FINI- NUTS,140,FALSE,"#907409, #7d6f54",APRICOT AND WALNUT,19.6,115250.jpg
115249,PREMIUM CHOCOLATE MACARON OPEN LIGHT ORANGE PISTACHIO NUTS WITH PISTACHIO CREAM KG,1351214115249,KGS,Finished Products,FINI- MACARON OPEN,157.14,FALSE,#916c52,PISTACHIO NUTS WITH PISTACHIO CREAM ,10,115249.jpg
115248,PREMIUM CHOCOLATE MACARON OPEN LIGHT ORANGE ALMOND NUT WITH CARAMEL KG,1351214115248,KGS,Finished Products,FINI- MACARON OPEN,157.14,FALSE,#916c52,ALMOND NUT WITH CARAMEL,10,115248.jpg
115247,PREMIUM BELGIUM EGG OPEN LIGHT ORANGE NUTELLA WITH CORNFLAKES KG,1351214115247,KGS,Finished Products,FINI- EGGS OPEN,130,FALSE,#916c52,NUTELLA WITH CORNFLAKES,10,115247.jpg
115246,PREMIUM BELGIUM EGG OPEN LIGHT ORANGE HAZELNUT CREAM WITH WAFER KG,1351214115246,KGS,Finished Products,FINI- EGGS OPEN,130,FALSE,#916c52,HAZELNUT CREAM WITH WAFER,10,115246.jpg
115245,PREMIUM BELGIUM OPEN GOLD HAZENUT CREAM WITH NUTS   KG,1351214115245,KGS,Finished Products,BELGIUM- OPEN,160,FALSE,#b6a956, HAZELNUT CREAM WITH NUTS,10,115245.jpg
